CountryName,CountryCode,RegionName,RegionCode,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6_Facial Coverings
Egypt,EGY,,,2020-11-09,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0
Eritrea,ERI,,,2020-11-09,,,,,,,,,,,,,,,,,,
Spain,ESP,,,2020-11-09,,,,,,,,,,,,,,,,,,
Estonia,EST,,,2020-11-09,,,,,,,,,,,,,,,,,,
Ethiopia,ETH,,,2020-11-09,1.0,1.0,2.0,3.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0
Finland,FIN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Fiji,FJI,,,2020-11-09,0.0,2.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,2.0
Falkland Islands,FLK,,,2020-11-09,,,,,,,,,,,,,,,,,,
France,FRA,,,2020-11-09,2.0,3.0,2.0,4.0,0.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,4.0
Gabon,GAB,,,2020-11-09,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,,,2020-11-09,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,England,UK_ENG,2020-11-09,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,Northern Ireland,UK_NIR,2020-11-09,2.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,,,,,2.0,,,,,
United Kingdom,GBR,Scotland,UK_SCO,2020-11-09,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,Wales,UK_WAL,2020-11-09,,,,,,,,,,,,,,,,,,
Georgia,GEO,,,2020-11-09,,,,,,,,,,,,,,,,,,
Ghana,GHA,,,2020-11-09,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,4.0
Gibraltar,GIB,,,2020-11-09,,,,,,,,,,,,,,,,,,
Guinea,GIN,,,2020-11-09,0.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,4.0
Gambia,GMB,,,2020-11-09,1.0,2.0,2.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0
Greece,GRC,,,2020-11-09,,,,,,,,,,,,,,,,,,
Greenland,GRL,,,2020-11-09,,,,,,,,,,,,,,,,,,
Guatemala,GTM,,,2020-11-09,,,,,,,,,,,,,,,,,,
Guam,GUM,,,2020-11-09,,,,,,,,,,,,,,,,,,
Guyana,GUY,,,2020-11-09,,,,,,,,,,,,,,,,,,
Hong Kong,HKG,,,2020-11-09,,,,,,,,,,,,,,,,,,
Honduras,HND,,,2020-11-09,,,,,,,,,,,,,,,,,,
Croatia,HRV,,,2020-11-09,,,,,,,,,,,,,,,,,,
Haiti,HTI,,,2020-11-09,0.0,0.0,2.0,3.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0
Hungary,HUN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Indonesia,IDN,,,2020-11-09,,,,,,,,,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4.0
India,IND,,,2020-11-09,,,,,,,,,,,,,,,,,,
Ireland,IRL,,,2020-11-09,,,,,,,,,,,,,,,,,,
Iran,IRN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Iraq,IRQ,,,2020-11-09,,,,,,,,,,,,,,,,,,
Iceland,ISL,,,2020-11-09,,,,,,,,,,,,,,,,,,
Israel,ISR,,,2020-11-09,,,,,,,,,,,,,,,,,,
Italy,ITA,,,2020-11-09,2.0,2.0,2.0,4.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0
Jamaica,JAM,,,2020-11-09,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0
Jordan,JOR,,,2020-11-09,,,,,,,,,,,,,,,,,,
Japan,JPN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Kazakhstan,KAZ,,,2020-11-09,,,,,,,,,,,,,,,,,,
Kenya,KEN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,KGZ,,,2020-11-09,,,,,,,,,,,,,,,,,,
Cambodia,KHM,,,2020-11-09,1.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0
South Korea,KOR,,,2020-11-09,1.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0
Kuwait,KWT,,,2020-11-09,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0
Laos,LAO,,,2020-11-09,,,,,,,,,,,,,,,,,,
Lebanon,LBN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Liberia,LBR,,,2020-11-09,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0
Libya,LBY,,,2020-11-09,,,,,,,,,,,,,,,,,,
Sri Lanka,LKA,,,2020-11-09,,,,,,,,,,,,,,,,,,
Lesotho,LSO,,,2020-11-09,,,,,,,,,,,,,,,,,,
Lithuania,LTU,,,2020-11-09,,,,,,,,,,,,,,,,,,
Luxembourg,LUX,,,2020-11-09,,,,,,,,,,,,,,,,,,
Latvia,LVA,,,2020-11-09,,,,,,,,,,,,,,,,,,
Macao,MAC,,,2020-11-09,,,,,,,,,,,,,,,,,,
Morocco,MAR,,,2020-11-09,3.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,3.0
Moldova,MDA,,,2020-11-09,,,,,,,,,,,,,,,,,,
Madagascar,MDG,,,2020-11-09,,,,,,,,,,,,,,,,,,
Mexico,MEX,,,2020-11-09,,,,,,,,,,,,,,,,,,
Mali,MLI,,,2020-11-09,0.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0
Myanmar,MMR,,,2020-11-09,,,,,,,,,,,,,,,,,,
Mongolia,MNG,,,2020-11-09,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,,,2020-11-09,,,,,,,,,,,,,,,,,,
Mauritania,MRT,,,2020-11-09,,,,,,,,,,,,,,,,,,
Montserrat,MSR,,,2020-11-09,,,,,,,,,,,,,,,,,,
Mauritius,MUS,,,2020-11-09,,,,,,,,,,,,,,,,,,
Malawi,MWI,,,2020-11-09,,,,,,,,,,,,,,,,,,
Malaysia,MYS,,,2020-11-09,,,,,,,,,,,,,,,,,,
Namibia,NAM,,,2020-11-09,,,,,,,,,,,,,,,,,,
Niger,NER,,,2020-11-09,,,,,,,,,,,,,,,,,,
Nigeria,NGA,,,2020-11-09,,,,,,,,,,,,,,,,,,
Nicaragua,NIC,,,2020-11-09,,,,,,,,,,,,,,,,,,
Netherlands,NLD,,,2020-11-09,1.0,3.0,2.0,4.0,0.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0
Norway,NOR,,,2020-11-09,,,,,,,,,,,,,,,,,,
Nepal,NPL,,,2020-11-09,,,,,,,,,,,,,,,,,,
New Zealand,NZL,,,2020-11-09,,,,,,,,,,,,,,,,,,
Oman,OMN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Pakistan,PAK,,,2020-11-09,,,,,,,,,,,,,,,,,,
Panama,PAN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Pitcairn Islands,PCN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Peru,PER,,,2020-11-09,,,,,,,,,,,,,,,,,,
Philippines,PHL,,,2020-11-09,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,,,2020-11-09,1.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0
Poland,POL,,,2020-11-09,,,,,,,,,,,,,,,,,,
Puerto Rico,PRI,,,2020-11-09,,,,,,,,,,,,,,,,,,
Portugal,PRT,,,2020-11-09,,,,,,,,,,,,,,,,,,
Paraguay,PRY,,,2020-11-09,,,,,,,,,,,,,,,,,,
Palestine,PSE,,,2020-11-09,,,,,,,,,,,,,,,,,,
Qatar,QAT,,,2020-11-09,,,,,,,,,,,,,,,,,,
Kosovo,RKS,,,2020-11-09,,,,,,,,,,,,,,,,,,
Romania,ROU,,,2020-11-09,,,,,,,,,,,,,,,,,,
Russia,RUS,,,2020-11-09,,,,,,,,,,,,,,,,,,
Rwanda,RWA,,,2020-11-09,,,,,,,,,,,,,,,,,,
Saudi Arabia,SAU,,,2020-11-09,,,,,,,,,,,,,,,,,,
Sudan,SDN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Senegal,SEN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Singapore,SGP,,,2020-11-09,,,,,,,,,,,,,,,,,,
Solomon Islands,SLB,,,2020-11-09,,,,,,,,,,,,,,,,,,
Sierra Leone,SLE,,,2020-11-09,,,,,,,,,,,,,,,,,,
El Salvador,SLV,,,2020-11-09,,,,,,,,,,,,,,,,,,
San Marino,SMR,,,2020-11-09,,,,,,,,,,,,,,,,,,
Somalia,SOM,,,2020-11-09,,,,,,,,,,,,,,,,,,
Serbia,SRB,,,2020-11-09,,,,,,,,,,,,,,,,,,
South Sudan,SSD,,,2020-11-09,,,,,,,,,,,,,,,,,,
Suriname,SUR,,,2020-11-09,,,,,,,,,,,,,,,,,,
Slovak Republic,SVK,,,2020-11-09,,,,,,,,,,,,,,,,,,
Slovenia,SVN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Sweden,SWE,,,2020-11-09,,,,,,,,,,,,,,,,,,
Eswatini,SWZ,,,2020-11-09,,,,,,,,,,,,,,,,,,
Seychelles,SYC,,,2020-11-09,,,,,,,,,,,,,,,,,,
Syria,SYR,,,2020-11-09,1.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Turks and Caicos Islands,TCA,,,2020-11-09,,,,,,,,,,,,,,,,,,
Chad,TCD,,,2020-11-09,0.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,4.0
Togo,TGO,,,2020-11-09,,,,,,,,,,,,,,,,,,
Thailand,THA,,,2020-11-09,,,,,,,,,,,,,,,,,,
Tajikistan,TJK,,,2020-11-09,,,,,,,,,,,,,,,,,,
Turkmenistan,TKM,,,2020-11-09,,,,,,,,,,,,,,,,,,
Timor-Leste,TLS,,,2020-11-09,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,,,2020-11-09,,,,,,,,,,,,,,,,,,
Tunisia,TUN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Turkey,TUR,,,2020-11-09,,,,,,,,,,,,,,,,,,
Taiwan,TWN,,,2020-11-09,,,,,,,,,,,,,,,,,,
Tanzania,TZA,,,2020-11-09,,,,,,,,,,,,,,,,,,
Uganda,UGA,,,2020-11-09,,,,,,,,,,,,,,,,,,
Ukraine,UKR,,,2020-11-09,,,,,,,,,,,,,,,,,,
Uruguay,URY,,,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,,,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Alaska,US_AK,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Alabama,US_AL,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Arkansas,US_AR,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Arizona,US_AZ,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,California,US_CA,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Colorado,US_CO,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Connecticut,US_CT,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Washington DC,US_DC,2020-11-09,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,
United States,USA,Delaware,US_DE,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Florida,US_FL,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Georgia,US_GA,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Hawaii,US_HI,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Iowa,US_IA,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Idaho,US_ID,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Illinois,US_IL,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Indiana,US_IN,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Kansas,US_KS,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Kentucky,US_KY,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Louisiana,US_LA,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Massachusetts,US_MA,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Maryland,US_MD,2020-11-09,,,,,,,,,,,0.0,0.0,,,,0.0,0.0,
United States,USA,Maine,US_ME,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Michigan,US_MI,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Minnesota,US_MN,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Missouri,US_MO,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Mississippi,US_MS,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Montana,US_MT,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,North Carolina,US_NC,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,North Dakota,US_ND,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Nebraska,US_NE,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,New Hampshire,US_NH,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,New Jersey,US_NJ,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,New Mexico,US_NM,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Nevada,US_NV,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,New York,US_NY,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Ohio,US_OH,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Oklahoma,US_OK,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Oregon,US_OR,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Pennsylvania,US_PA,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Rhode Island,US_RI,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,South Carolina,US_SC,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,South Dakota,US_SD,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Tennessee,US_TN,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Texas,US_TX,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Utah,US_UT,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Virginia,US_VA,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Virgin Islands,US_VI,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Vermont,US_VT,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Washington,US_WA,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Wisconsin,US_WI,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,West Virginia,US_WV,2020-11-09,,,,,,,,,,,,,,,,,,
United States,USA,Wyoming,US_WY,2020-11-09,,,,,,,,,,,,,,,,,,
Uzbekistan,UZB,,,2020-11-09,,,,,,,,,,,,,,,,,,
Venezuela,VEN,,,2020-11-09,,,,,,,,,,,,,,,,,,
British Virgin Islands,VGB,,,2020-11-09,,,,,,,,,,,,,,,,,,
United States Virgin Islands,VIR,,,2020-11-09,,,,,,,,,,,,,,,,,,
Vietnam,VNM,,,2020-11-09,,,,,,,,,,,,,,,,,,
Vanuatu,VUT,,,2020-11-09,,,,,,,,,,,,,,,,,,
Yemen,YEM,,,2020-11-09,,,,,,,,,,,,,,,,,,
South Africa,ZAF,,,2020-11-09,,,,,,,,,,,,,,,,,,
Zambia,ZMB,,,2020-11-09,,,,,,,,,,,,,,,,,,
Zimbabwe,ZWE,,,2020-11-09,,,,,,,,,,,,,,,,,,
